date,home_team,away_team,home_score,away_score,Home_tries,Away_tries,Home_conv,Away_conv,Home_conv_att,Away_conv_att,Home_pg,Away_pg,Home_pg_att,Away_pg_att,Home_dg,Away_dg,Home_dg_att,Away_dg_att,Home_pg_dg,Away_pg_dg
2024-11-08,Ireland,New Zealand,13,23,1.0,1.0,1.0,0.0,1.0,0.0,2.0,6.0,2.0,6.0,0.0,0.0,0.0,0.0,2.0,6.0
2024-11-09,Romania,Tonga,25,15,2.0,2.0,0.0,1.0,0.0,1.0,5.0,1.0,5.0,1.0,0.0,0.0,0.0,0.0,5.0,1.0
2024-11-09,France,Japan,52,12,8.0,2.0,6.0,1.0,8.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-11-09,Italy,Argentina,18,50,2.0,7.0,1.0,6.0,1.0,7.0,2.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0
2024-11-09,England,Australia,37,42,5.0,5.0,3.0,4.0,5.0,5.0,2.0,3.0,2.0,3.0,0.0,0.0,0.0,0.0,2.0,3.0
2024-11-09,Portugal,USA,17,21,2.0,3.0,2.0,3.0,2.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2024-11-09,Kenya,Uganda,27,25,4.0,3.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,2.0
2024-11-09,Spain,Uruguay,33,24,4.0,3.0,2.0,3.0,2.0,2.0,3.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,3.0,1.0
2024-11-09,Canada,Chile,14,44,1.0,7.0,0.0,3.0,0.0,3.0,3.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,3.0,1.0
2024-11-10,Scotland,South Africa,15,32,0.0,4.0,0.0,3.0,1.0,3.0,5.0,2.0,5.0,2.0,0.0,0.0,0.0,0.0,5.0,2.0
2024-11-10,Wales,Fiji,19,24,3.0,2.0,2.0,1.0,1.0,1.0,0.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0
2024-11-15,Ireland,Argentina,22,19,3.0,1.0,2.0,1.0,3.0,1.0,0.0,4.0,0.0,4.0,1.0,0.0,1.0,1.0,1.0,4.0
2024-11-16,France,New Zealand,30,29,3.0,2.0,3.0,2.0,3.0,2.0,3.0,5.0,3.0,5.0,0.0,0.0,0.0,1.0,3.0,5.0
2024-11-16,South Korea,Zimbabwe,22,27,3.0,3.0,2.0,3.0,2.0,3.0,1.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,2.0
2024-11-16,Uganda,Kenya,5,21,1.0,3.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-11-16,Netherlands,Chile,20,17,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0
2024-11-16,Japan,Uruguay,36,20,5.0,2.0,1.0,2.0,3.0,2.0,3.0,2.0,3.0,2.0,0.0,0.0,0.0,0.0,3.0,2.0
2024-11-16,Spain,Fiji,19,33,1.0,5.0,1.0,4.0,0.0,5.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0
2024-11-16,Scotland,Portugal,59,21,9.0,3.0,7.0,3.0,8.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-11-16,Romania,Canada,35,27,5.0,3.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0
2024-11-16,USA,Tonga,36,17,5.0,3.0,4.0,1.0,4.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2024-11-16,England,South Africa,20,29,2.0,4.0,2.0,3.0,2.0,4.0,2.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0
2024-11-16,Hong Kong,Brazil,38,17,4.0,3.0,3.0,1.0,3.0,1.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0
2024-11-17,Italy,Georgia,20,17,2.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0
2024-11-17,Wales,Australia,20,52,2.0,8.0,2.0,6.0,2.0,8.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
2024-11-22,France,Argentina,37,23,4.0,2.0,4.0,2.0,3.0,2.0,3.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,3.0,3.0
2024-11-23,Ireland,Fiji,52,17,8.0,2.0,6.0,2.0,8.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
2024-11-23,Romania,Uruguay,21,23,2.0,2.0,1.0,2.0,1.0,2.0,3.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,3.0,3.0
2024-11-23,Wales,South Africa,12,45,2.0,7.0,1.0,5.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-11-23,Italy,New Zealand,11,29,1.0,4.0,0.0,3.0,1.0,4.0,2.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0
2024-11-23,Spain,USA,23,26,3.0,4.0,1.0,3.0,1.0,3.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
2024-11-24,Georgia,Tonga,22,7,3.0,1.0,2.0,1.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
